16-03-18,174,GOOGL,755.41
16-03-18,0,MSFT,53.49
16-03-18,1101,XOM,84.2
16-03-18,337,AMZN,552.08
16-03-18,1297,JNJ,107.5
16-03-18,2105,GE,30.92
16-03-18,4104,T,38.56
16-03-18,2176,WFC,50.54
16-03-18,0,JPM,60.48
16-03-18,1741,WMT,66.95
16-03-18,0,PG,83.15
16-03-18,0,VZ,53.24
16-03-18,0,PFE,29.45
16-03-18,0,CVX,97.69
16-03-18,0,ORCL,41.48
16-03-18,0,HD,131.35
16-03-18,0,INTC,32.68
16-03-18,0,MRK,52.25
16-03-18,0,DIS,99.2
16-03-18,0,PM,98.17
16-03-18,0,PEP,101.29
16-03-18,0,IBM,147.09
16-03-18,0,CSCO,28.33
16-03-18,0,BAC,13.79
16-03-18,0,MO,61.54
16-03-18,0,UNH,126.72
16-03-18,0,BMY,62.83
16-03-18,0,MDT,76.26
16-03-18,0,SLB,73.52
16-03-18,0,MMM,165.33
16-03-18,0,MCD,124.08
16-03-18,0,CVS,101.58
16-03-18,0,UPS,104.99
16-03-18,0,AGN,269.43
16-03-18,0,HON,112.1
16-03-18,0,WBA,83.94
16-03-18,0,UTX,99.05
16-03-18,0,BA,133.96
16-03-18,0,QCOM,51.59
16-03-18,0,COST,153.15
16-03-18,0,LOW,74.93
16-03-18,0,USB,41.32
16-03-18,0,GS,157.6
16-03-18,0,SPG,204.96
16-03-18,0,PCLN,1344.22
16-03-18,0,AXP,61.22
16-03-18,0,OXY,71.3
16-03-18,0,BLK,342.56
16-03-18,0,MS,26.28
16-03-18,0,F,13.64
16-03-21,9,WFC,50.67
16-03-22,1,GE,31.06
16-03-23,-45,GOOGL,757.56
16-03-28,45,GOOGL,753.28
16-03-31,5,T,39.17
16-04-01,-287,T,39.05
16-04-06,134,XOM,83.31
16-04-11,-26,AMZN,595.93
16-04-12,402,T,38.67
16-04-14,-34,AMZN,620.75
16-04-19,33,AMZN,627.9
16-04-20,7,WFC,50.45
16-04-25,-52,WMT,69.47
16-04-27,32,JNJ,112.77
16-04-28,-24,XOM,88.03
16-04-29,3,AMZN,659.59
16-05-02,5,GE,30.89
16-05-03,-16,WMT,67
16-05-06,9,JNJ,112.74
16-05-11,2,T,39.18
16-05-16,-789,WFC,48.27
16-05-17,54,AMZN,695.27
16-05-20,14,T,38.45
16-05-25,-95,AMZN,708.35
16-05-27,595,JNJ,113.06
16-05-31,-575,WFC,50.72
16-06-02,971,GE,30.05
16-06-06,-317,WMT,71.05
16-06-09,562,T,40.09
16-06-14,-66,GOOGL,733.25
16-06-16,1579,GE,30.64
16-06-21,-375,XOM,91.53
16-06-24,50,GOOGL,685.2
16-06-28,1,WMT,71.51
16-07-01,-259,XOM,93.84
16-07-05,773,GE,31.45
16-07-06,-10,AMZN,737.61
16-07-11,173,T,42.51
16-07-12,-348,T,42.41
16-07-14,155,XOM,94.95
