16-04-12,6,GOOGL,764.32
16-04-12,700,MSFT,54.65
16-04-12,431,XOM,84.35
16-04-12,54,AMZN,603.17
16-04-12,178,JNJ,109.6
16-04-12,505,GE,30.81
16-04-12,1137,T,38.67
16-04-12,543,WFC,47.77
16-04-12,399,JPM,59.28
16-04-12,128,WMT,68.8
16-04-12,86,PG,82.83
16-04-12,231,VZ,51.95
16-04-12,906,PFE,31.96
16-04-12,116,CVX,97.51
16-04-12,422,ORCL,40.42
16-04-12,87,HD,134.38
16-04-12,387,INTC,31.86
16-04-12,642,MRK,55.34
16-04-12,452,DIS,97.35
16-04-12,127,PM,101.63
16-04-12,173,PEP,104.91
16-04-12,180,IBM,149.63
16-04-12,169,CSCO,27.64
16-04-12,1105,BAC,13.27
16-04-12,25,MO,63.82
16-04-12,311,UNH,126.8
16-04-12,179,BMY,66.84
16-04-12,64,MDT,76.62
16-04-12,10,SLB,75.9
16-04-12,16,MMM,168.03
16-04-12,298,MCD,127.61
16-04-12,274,CVS,101.23
16-04-12,175,UPS,105.23
16-04-12,199,AGN,222.57
16-04-12,325,HON,113.03
16-04-12,501,WBA,81.31
16-04-12,3,UTX,103.08
16-04-12,63,BA,129.47
16-04-12,214,QCOM,50.82
16-04-12,96,COST,150.52
16-04-12,71,LOW,75.73
16-04-12,722,USB,40.26
16-04-12,168,GS,154.31
16-04-12,80,SPG,208.11
16-04-12,13,PCLN,1300.28
16-04-12,20,AXP,60.68
16-04-12,367,OXY,72.45
16-04-12,7,BLK,339.31
16-04-12,1247,MS,24.58
